CusId,CusId
NkName,NkName
AccessLevel,AccessLevel
PinStatus,PinStatus
AcuPinTryCnt,AcuPinTryCnt
PinTryCnt,PinTryCnt
NknStatus,NknStatus
NknErrCnt,NknErrCnt
AplChl,AplChl
StartChl,StartChl
PinChl,PinChl
ApplyFirstBranchNo,ApplyFirstBranchNo
ChangeLastBranchNo,ChangeLastBranchNo
ChangeLastTellerId,ChangeLastTellerId
ChangeLastTellerIdSupervisor,ChangeLastTellerIdSupervisor
RecruitmentTellerId,RecruitmentTellerId
PinChgChl,PinChgChl
NkChgChl,NkChgChl
AplDateTime,AplDateTime
ModifyDateTime,ModifyDateTime
PinChgDateTime,PinChgDateTime
NknMdfDate,NknMdfDate
LevelChgDateTime,LevelChgDateTime
LevelChgReason,LevelChgReason
RsaFlag,RsaFlag
RsaDateTime,RsaDateTime
